Voter type,Name,Party,Constituency,Q.1,Q.2,F8
TD,Aengus Ó Snodaigh,SF,Dublin South Central,Yes,Undeclared,Undeclared
TD,Aindrias Moynihan,FF,Cork North West,No,No,No
TD,Alan Farrell,FG,Dublin Fingal,Yes,Yes,Yes
TD,Alan Kelly,LAB,Tipperary,Yes,Yes,Yes
TD,Andrew Doyle,FG,Wicklow,No,No,No
TD,Anne Rabbitte,FF,Galway East,No,No,No
TD,Barry Cowen,FF,Offaly,Yes,Yes,Yes
TD,Bernard Durkan,FG,Kildare North,Yes,Yes,Yes
TD,Billy Kelleher,FF,Cork North Central,Yes,Yes,Yes
TD,Bobby Aylward,FF,Carlow-Kilkenny,No,No,No
TD,Brendan Griffin,FG,Kerry,Yes,Undeclared,Undeclared
TD,Brendan Howlin,LAB,Wexford,Yes,Yes,Yes
TD,Brendan Ryan,LAB,Dublin Fingal,Yes,Yes,Yes
TD,Brendan Smith,FF,Cavan-Monaghan,No,No,No
TD,Brian Stanley,SF,Laois,Yes,Undeclared,Undeclared
TD,Bríd Smith,PBP,Dublin South Central,Yes,Yes,Yes
TD,Caoimhghín Ó Caoláin,SF,Cavan-Monaghan,Yes,Undeclared,Undeclared
TD,Carol Nolan,SF,Offaly,No,No,No
TD,Catherine Byrne,FG,Dublin South Central,Undeclared,Undeclared,Undeclared
TD,Catherine Connolly,IND,Galway West,Yes,Yes,Yes
TD,Catherine Martin,GRN,Dublin Rathdown,Yes,Yes,Yes
TD,Catherine Murphy,SD,Kildare North,Yes,Yes,Yes
TD,Charles Flanagan,FG,Laois,Yes,Yes,Yes
TD,Charlie McConalogue,FF,Donegal,No,No,No
TD,Ciarán Cannon,FG,Galway East,Undeclared,No,No
TD,Clare Daly,IND,Dublin Fingal,Yes,Yes,Yes
TD,Colm Brophy,FG,Dublin South West,Yes,Yes,Yes
TD,Damien English,FG,Meath West,Undeclared,Undeclared,Undeclared
TD,Danny Healy-Rae,IND,Kerry,No,No,No
TD,Dara Calleary,FF,Mayo,No,No,No
